id, question_id,user_id,answer_id,created_at,updated_at,score
71,42,17,200,8/23/19 10:17,20:09.1,0
72,44,8,209,8/23/19 10:17,20:10.9,0
73,42,17,202,8/23/19 10:20,20:16.1,0
74,44,8,209,8/23/19 10:20,20:19.5,0
75,43,18,203,8/23/19 10:19,20:19.7,1
76,41,22,196,8/23/19 10:19,20:26.0,1
77,44,8,209,8/23/19 10:20,20:27.5,0
78,43,14,203,8/23/19 10:19,20:32.1,1
79,43,15,203,8/23/19 10:18,20:34.6,1
80,43,23,203,8/23/19 10:19,20:36.2,1
81,42,20,199,8/23/19 10:17,20:44.7,0
82,42,8,200,8/23/19 10:20,20:44.9,0
83,43,19,203,8/23/19 10:20,20:49.0,1
84,42,16,201,8/23/19 10:18,20:50.6,1
85,44,9,208,8/23/19 10:19,20:51.8,1
86,43,17,203,8/23/19 10:20,21:08.1,1
87,44,21,209,8/23/19 10:19,21:11.2,0
88,43,16,203,8/23/19 10:20,21:45.3,1
89,44,19,209,8/23/19 10:20,21:45.7,0
90,44,12,209,8/23/19 10:18,21:50.7,0
91,45,8,216,8/23/19 10:20,21:54.2,0
92,44,18,209,8/23/19 10:20,21:54.6,0
93,47,10,224,8/23/19 10:11,22:24.1,0
94,44,14,208,8/23/19 10:20,22:35.9,1
95,45,9,216,8/23/19 10:20,22:37.8,0
96,44,17,210,8/23/19 10:21,22:53.3,0
97,46,13,219,8/23/19 10:20,23:07.0,0
98,43,20,203,8/23/19 10:21,23:29.8,1
99,44,15,208,8/23/19 10:20,23:31.7,1
101,42,11,199,8/23/19 10:19,23:43.2,0
102,44,16,208,8/23/19 10:21,24:07.3,1
100,45,19,214,8/23/19 10:21,23:34.8,1
103,44,23,210,8/23/19 10:20,24:16.6,0
104,45,17,215,8/23/19 10:22,24:22.0,0
105,43,11,203,8/23/19 10:23,24:22.5,1
106,45,12,217,8/23/19 10:21,24:26.7,0
107,46,9,220,8/23/19 10:22,24:31.9,0
108,46,8,220,8/23/19 10:21,24:33.8,0
109,46,22,218,8/23/19 10:20,25:02.7,1
110,45,18,214,8/23/19 10:21,25:19.3,1
111,45,21,214,8/23/19 10:21,25:20.0,1
112,45,14,214,8/23/19 10:22,25:28.1,1
113,46,17,220,8/23/19 10:24,25:31.7,0
114,44,20,209,8/23/19 10:23,25:50.6,0
115,48,13,231,8/23/19 10:23,26:01.9,1
116,45,16,214,8/23/19 10:24,26:06.0,1
117,48,22,231,8/23/19 10:25,26:17.0,1
118,45,15,214,8/23/19 10:23,26:38.7,1
119,48,9,231,8/23/19 10:24,26:49.1,1
120,44,11,209,8/23/19 10:24,26:55.7,0
121,41,10,196,8/23/19 10:22,27:07.6,1
122,46,19,220,8/23/19 10:23,27:09.2,0
123,48,17,232,8/23/19 10:25,27:30.9,0
124,48,8,230,8/23/19 10:24,27:31.9,0
125,49,22,237,8/23/19 10:26,28:00.6,0
126,46,14,220,8/23/19 10:25,28:07.1,0
127,45,23,213,8/23/19 10:24,28:35.9,0
128,49,13,236,8/23/19 10:26,28:39.2,0
129,42,10,199,8/23/19 10:27,28:52.8,0
130,45,20,214,8/23/19 10:25,29:07.5,1
131,49,8,235,8/23/19 10:27,29:08.4,0
132,46,12,221,8/23/19 10:24,29:18.8,0
133,49,17,235,8/23/19 10:27,29:21.6,0
134,46,23,222,8/23/19 10:28,29:35.2,0
135,48,19,232,8/23/19 10:27,29:41.1,0
136,48,14,231,8/23/19 10:28,29:45.6,1
137,49,9,235,8/23/19 10:26,29:51.5,0
138,45,11,214,8/23/19 10:26,30:11.5,1
139,49,19,235,8/23/19 10:29,30:39.5,0
140,43,10,203,8/23/19 10:28,31:01.3,1
141,50,22,241,8/23/19 10:28,31:07.1,1
142,50,8,241,8/23/19 10:29,31:19.6,1
143,46,15,218,8/23/19 10:26,31:25.0,1
144,50,13,242,8/23/19 10:28,31:49.7,0
145,50,17,239,8/23/19 10:29,32:17.2,0
146,46,20,222,8/23/19 10:29,32:50.7,0
147,46,16,222,8/23/19 10:26,32:50.8,0
148,51,22,245,8/23/19 10:31,33:09.5,1
149,50,9,241,8/23/19 10:29,33:18.2,1
150,44,10,209,8/23/19 10:31,33:29.5,0
151,50,19,242,8/23/19 10:30,33:34.9,0
152,48,15,231,8/23/19 10:31,33:59.9,1
153,48,23,231,8/23/19 10:29,34:09.4,1
154,48,12,228,8/23/19 10:29,34:23.7,0
155,48,16,231,8/23/19 10:32,34:32.5,1
156,51,9,245,8/23/19 10:33,34:33.5,1
157,51,8,243,8/23/19 10:31,34:44.2,0
158,49,23,237,8/23/19 10:34,34:52.3,0
159,52,22,250,8/23/19 10:33,35:18.9,1
160,51,17,245,8/23/19 10:32,35:23.7,1
161,46,21,218,8/23/19 10:25,35:28.7,1
162,45,10,215,8/23/19 10:33,35:34.4,0
163,48,20,229,8/23/19 10:32,35:37.6,0
164,49,14,236,8/23/19 10:29,35:49.3,0
165,51,13,247,8/23/19 10:31,36:01.7,0
166,52,9,250,8/23/19 10:34,36:05.2,1
167,52,17,250,8/23/19 10:35,36:24.5,1
168,51,19,245,8/23/19 10:33,36:38.7,1
169,53,17,256,8/23/19 10:36,36:46.5,0
170,46,18,220,8/23/19 10:25,36:52.1,0
171,53,22,253,8/23/19 10:35,37:17.6,1
172,49,15,235,8/23/19 10:34,37:24.3,0
173,53,9,253,8/23/19 10:36,37:32.2,1
174,49,20,236,8/23/19 10:35,37:34.2,0
175,48,21,229,8/23/19 10:35,37:41.9,0
176,52,8,248,8/23/19 10:34,37:43.2,0
177,52,19,250,8/23/19 10:36,37:43.6,1
178,49,20,236,8/23/19 10:37,37:55.1,0
179,49,16,235,8/23/19 10:34,38:12.0,0
180,50,23,241,8/23/19 10:34,38:18.3,1
181,49,12,234,8/23/19 10:34,38:26.2,0
182,54,22,258,8/23/19 10:37,38:48.0,0
183,54,9,258,8/23/19 10:37,39:00.8,0
184,46,11,220,8/23/19 10:30,39:04.7,0
185,53,19,253,8/23/19 10:37,39:20.6,1
186,50,14,240,8/23/19 10:35,39:22.8,0
187,54,17,262,8/23/19 10:36,39:28.0,0
188,49,21,237,8/23/19 10:37,39:42.3,0
189,51,23,244,8/23/19 10:38,40:08.4,0
190,48,18,231,8/23/19 10:36,40:11.9,1
191,52,13,250,8/23/19 10:36,40:15.2,1
192,53,8,253,8/23/19 10:37,40:18.5,1
193,50,16,241,8/23/19 10:38,40:21.8,1
194,50,15,240,8/23/19 10:37,40:33.6,0
195,50,20,242,8/23/19 10:37,40:46.0,0
196,48,11,229,8/23/19 10:39,40:52.3,0
197,54,19,258,8/23/19 10:39,41:09.5,0
198,51,16,245,8/23/19 10:40,41:28.6,1
199,51,14,247,8/23/19 10:39,41:30.8,0
200,54,8,259,8/23/19 10:40,42:08.4,0
201,50,12,240,8/23/19 10:38,42:12.4,0
202,52,16,250,8/23/19 10:41,42:15.8,1
203,50,21,241,8/23/19 10:39,42:23.9,1
204,49,18,235,8/23/19 10:40,42:28.8,0
205,52,23,250,8/23/19 10:40,42:37.5,1
206,53,13,253,8/23/19 10:40,42:41.8,1
207,55,17,265,8/23/19 10:39,42:44.8,0
208,53,23,257,8/23/19 10:42,43:00.3,0
209,49,11,233,8/23/19 10:40,43:00.9,1
210,52,14,250,8/23/19 10:41,43:05.7,1
211,51,13,247,8/23/19 10:42,43:07.9,0
212,51,15,245,8/23/19 10:40,43:29.9,1
213,51,20,247,8/23/19 10:40,43:31.4,0
214,55,19,264,8/23/19 10:41,43:37.7,0
215,53,16,257,8/23/19 10:42,44:01.2,0
216,55,9,264,8/23/19 10:39,44:01.8,0
217,55,8,263,8/23/19 10:42,44:07.8,0
218,56,17,269,8/23/19 10:42,44:26.3,1
219,50,18,239,8/23/19 10:42,44:29.1,0
220,51,21,245,8/23/19 10:42,44:41.3,1
221,51,11,245,8/23/19 10:43,44:49.9,1
222,52,15,250,8/23/19 10:43,44:54.1,1
223,54,23,258,8/23/19 10:43,45:00.2,0
224,55,13,267,8/23/19 10:43,45:10.8,0
225,51,12,247,8/23/19 10:42,45:11.0,0
226,54,16,261,8/23/19 10:44,45:42.7,1
227,56,9,268,8/23/19 10:44,45:44.6,0
228,47,17,227,8/23/19 10:44,45:52.8,1
229,53,14,255,8/23/19 10:43,46:05.3,0
230,55,23,267,8/23/19 10:45,46:05.6,0
231,55,16,267,8/23/19 10:45,46:07.7,0
232,52,11,250,8/23/19 10:44,46:10.9,1
233,46,10,220,8/23/19 10:35,46:27.3,0
234,54,13,261,8/23/19 10:45,46:31.2,1
235,52,21,249,8/23/19 10:44,46:39.2,0
236,51,18,246,8/23/19 10:44,46:39.5,0
237,53,15,253,8/23/19 10:44,46:42.3,1
238,53,21,257,8/23/19 10:46,46:45.6,0
239,54,21,262,8/23/19 10:46,46:52.1,0
240,55,21,267,8/23/19 10:46,46:55.2,0
241,56,21,272,8/23/19 10:46,46:58.5,0
242,56,19,269,8/23/19 10:43,47:07.9,1
243,52,20,250,8/23/19 10:43,47:09.5,1
244,54,11,258,8/23/19 10:46,47:26.3,0
245,56,16,269,8/23/19 10:46,47:37.0,1
246,54,14,261,8/23/19 10:46,47:40.1,1
247,52,12,250,8/23/19 10:45,47:43.5,1
248,53,21,257,8/23/19 10:47,47:51.3,0
249,56,23,269,8/23/19 10:46,47:57.9,1
250,55,22,266,8/23/19 10:38,47:58.2,1
251,56,8,269,8/23/19 10:44,48:05.0,1
252,54,15,258,8/23/19 10:46,48:30.3,0
253,47,19,225,8/23/19 10:47,48:34.3,0
254,56,8,269,8/23/19 10:48,48:48.4,1
255,54,15,261,8/23/19 10:48,48:58.6,1
256,47,11,227,8/23/19 10:48,49:05.3,1
257,56,13,269,8/23/19 10:46,49:07.9,1
258,52,18,250,8/23/19 10:46,49:11.6,1
259,54,21,258,8/23/19 10:47,49:14.3,0
260,48,10,229,8/23/19 10:46,49:20.9,0
261,50,11,240,8/23/19 10:49,49:26.6,0
262,56,22,271,8/23/19 10:48,49:31.9,0
263,55,9,266,8/23/19 10:45,49:34.9,1
264,53,11,255,8/23/19 10:49,49:40.1,0
265,55,11,265,8/23/19 10:49,49:54.6,0
266,53,20,257,8/23/19 10:47,49:58.9,0
267,56,11,271,8/23/19 10:49,49:58.9,0
268,56,13,269,8/23/19 10:49,50:02.5,1
269,53,17,255,8/23/19 10:46,50:07.5,0
270,41,19,196,8/23/19 10:48,50:38.0,1
271,51,17,245,8/23/19 10:50,50:54.9,1
272,53,18,253,8/23/19 10:49,51:16.3,1
273,53,12,253,8/23/19 10:47,51:16.6,1
274,49,17,235,8/23/19 10:51,51:57.3,0
275,55,16,266,8/23/19 10:47,52:03.4,1
276,46,9,221,8/23/19 10:49,52:04.1,0
277,54,20,261,8/23/19 10:50,52:22.1,1
278,55,23,267,8/23/19 10:48,52:34.7,0
279,56,21,269,8/23/19 10:49,52:35.4,1
280,46,13,221,8/23/19 10:50,52:39.6,0
281,56,11,269,8/23/19 10:50,52:57.9,1
282,42,19,199,8/23/19 10:50,52:59.3,0
283,54,18,262,8/23/19 10:51,53:01.2,0
284,55,20,267,8/23/19 10:52,53:35.7,0
285,54,12,258,8/23/19 10:51,53:42.4,0
286,55,15,266,8/23/19 10:49,54:01.9,1
287,43,19,203,8/23/19 10:53,54:08.9,1
288,44,19,209,8/23/19 10:54,54:34.9,0
289,49,10,236,8/23/19 10:49,54:45.3,0
290,56,20,270,8/23/19 10:53,55:19.7,0
291,50,10,240,8/23/19 10:54,55:28.3,0
292,55,14,266,8/23/19 10:47,55:50.4,1
293,55,21,266,8/23/19 10:52,56:18.8,1
294,55,12,266,8/23/19 10:53,56:34.4,1
295,56,20,270,8/23/19 10:56,56:45.9,0
296,45,19,214,8/23/19 10:54,56:56.9,1
297,45,23,214,8/23/19 10:52,57:05.1,1
298,55,18,264,8/23/19 10:53,57:14.6,0
299,49,23,237,8/23/19 10:57,57:26.3,0
300,56,12,269,8/23/19 10:56,57:31.9,1
301,56,15,270,8/23/19 10:54,57:40.0,0
302,46,23,222,8/23/19 10:57,58:03.1,0
303,51,10,246,8/23/19 10:55,58:05.7,0
304,52,10,250,8/23/19 10:58,58:13.8,1
305,55,11,266,8/23/19 10:53,58:19.0,1
306,56,15,269,8/23/19 10:57,58:23.8,1
307,52,19,250,8/23/19 10:57,58:36.6,1
308,56,14,271,8/23/19 10:55,58:36.7,0
309,54,10,259,8/23/19 10:58,58:41.2,0
310,55,10,264,8/23/19 10:58,58:45.9,0
311,56,20,271,8/23/19 10:56,59:10.3,0
312,56,18,269,8/23/19 10:57,59:14.4,1
313,47,12,224,8/23/19 10:57,59:29.8,0
314,53,11,256,8/23/19 10:58,59:48.1,0
315,56,10,271,8/23/19 10:58,00:15.3,0
316,47,3,225,8/23/19 11:00,00:19.7,0
317,49,23,237,8/23/19 10:58,00:22.8,0
318,1,24,1,8/23/19 11:39,39:48.5,1
319,3,24,9,8/23/19 11:39,40:24.5,0
320,3,24,12,8/23/19 11:42,42:34.2,1
321,5,24,19,8/23/19 11:42,46:29.0,0
322,5,24,17,8/23/19 11:48,49:25.0,0
323,2,24,8,8/23/19 11:49,49:56.7,1
324,4,24,14,8/23/19 11:50,50:13.0,1
325,6,24,22,8/23/19 11:50,50:32.2,1
326,57,3,274,8/23/19 12:09,09:32.8,0
327,57,33,276,8/23/19 12:08,10:02.0,1
328,57,34,276,8/23/19 12:08,10:33.1,1
329,58,33,280,8/23/19 12:10,10:48.7,0
330,57,34,276,8/23/19 12:10,10:51.5,1
331,57,29,276,8/23/19 12:09,10:58.5,1
332,57,34,277,8/23/19 12:11,11:20.8,0
333,57,26,274,8/23/19 12:10,11:22.6,0
334,57,28,277,8/23/19 12:10,11:45.8,0
335,57,32,277,8/23/19 12:10,11:48.6,0
336,63,33,307,8/23/19 12:10,11:59.1,1
337,58,34,279,8/23/19 12:11,12:19.3,0
338,58,26,282,8/23/19 12:11,12:53.3,0
339,64,33,309,8/23/19 12:12,13:12.3,0
340,58,29,281,8/23/19 12:11,13:50.9,1
341,65,33,317,8/23/19 12:13,13:54.8,0
342,57,31,276,8/23/19 12:09,14:01.5,1
343,63,26,304,8/23/19 12:12,14:14.8,0
344,58,28,281,8/23/19 12:11,14:30.4,1
345,59,33,283,8/23/19 12:13,14:32.6,1
346,58,32,281,8/23/19 12:11,14:34.1,1
347,57,27,276,8/23/19 12:08,14:43.3,1
348,60,33,290,8/23/19 12:14,15:21.2,0
349,57,30,277,8/23/19 12:08,15:37.6,0
350,63,34,304,8/23/19 12:12,15:50.2,0
351,63,28,305,8/23/19 12:14,16:28.6,0
352,63,32,307,8/23/19 12:14,16:31.8,1
353,61,33,294,8/23/19 12:15,16:34.3,1
354,64,26,309,8/23/19 12:14,16:48.4,0
355,58,27,282,8/23/19 12:14,17:06.2,0
356,57,25,274,8/23/19 12:10,17:09.1,0
357,64,34,309,8/23/19 12:15,17:10.4,0
358,64,34,309,8/23/19 12:17,17:32.4,0
359,57,34,277,8/23/19 12:17,17:40.7,0
360,58,31,281,8/23/19 12:14,17:51.9,1
361,65,34,317,8/23/19 12:18,18:18.3,0
362,57,34,276,8/23/19 12:18,18:32.4,1
363,62,33,302,8/23/19 12:16,18:40.4,0
364,58,30,281,8/23/19 12:15,18:44.4,1
365,57,34,276,8/23/19 12:18,18:50.4,1
366,64,28,309,8/23/19 12:16,18:50.6,0
367,57,34,277,8/23/19 12:18,18:56.6,0
368,57,34,276,8/23/19 12:19,19:04.6,1
369,57,34,276,8/23/19 12:19,19:38.0,1
370,64,32,311,8/23/19 12:16,19:58.3,1
371,58,34,279,8/23/19 12:19,20:10.1,0
372,65,26,315,8/23/19 12:16,20:10.6,0
373,63,27,307,8/23/19 12:17,20:11.2,1
374,63,34,304,8/23/19 12:20,20:19.3,0
375,64,34,309,8/23/19 12:20,20:28.1,0
376,58,25,278,8/23/19 12:17,20:50.4,0
377,63,29,307,8/23/19 12:13,21:09.2,1
378,65,28,313,8/23/19 12:18,21:11.3,1
379,59,26,283,8/23/19 12:20,21:24.7,1
380,65,34,317,8/23/19 12:20,21:29.7,0
381,63,31,307,8/23/19 12:17,21:54.7,1
382,64,27,311,8/23/19 12:20,22:06.6,1
383,66,33,320,8/23/19 12:19,22:19.0,0
384,59,34,283,8/23/19 12:21,22:34.4,1
385,59,28,283,8/23/19 12:21,22:39.6,1
386,65,32,314,8/23/19 12:20,22:46.3,0
387,63,30,307,8/23/19 12:18,23:03.5,1
388,67,33,325,8/23/19 12:22,23:26.4,1
389,60,26,290,8/23/19 12:21,23:27.9,0
390,64,29,311,8/23/19 12:21,23:43.8,1
391,64,31,311,8/23/19 12:22,24:00.8,1
392,60,34,288,8/23/19 12:22,24:01.8,1
393,68,33,330,8/23/19 12:23,24:19.9,1
394,64,30,309,8/23/19 12:23,24:29.5,0
395,60,28,289,8/23/19 12:22,24:30.3,0
396,59,32,283,8/23/19 12:22,24:34.1,1
397,65,27,316,8/23/19 12:22,24:56.0,0
398,61,26,296,8/23/19 12:23,25:13.8,0
399,63,25,304,8/23/19 12:21,26:06.9,0
400,61,34,294,8/23/19 12:24,26:07.3,1
401,59,27,283,8/23/19 12:24,26:22.2,1
402,65,29,314,8/23/19 12:23,26:53.8,0
403,60,32,289,8/23/19 12:24,27:21.8,0
404,65,31,316,8/23/19 12:24,27:22.4,0
405,59,29,283,8/23/19 12:26,27:30.6,1
406,60,27,290,8/23/19 12:26,27:56.2,0
407,61,28,294,8/23/19 12:24,28:30.9,1
408,66,34,322,8/23/19 12:27,28:41.6,0
409,60,29,289,8/23/19 12:27,29:08.3,0
410,69,33,333,8/23/19 12:24,29:13.4,1
411,59,31,283,8/23/19 12:27,29:19.9,1
412,64,25,312,8/23/19 12:26,29:49.5,0
413,62,26,301,8/23/19 12:25,29:53.6,0
414,65,30,314,8/23/19 12:24,30:16.1,0
415,67,34,324,8/23/19 12:28,30:17.1,0
416,70,33,341,8/23/19 12:29,30:50.6,1
417,60,31,290,8/23/19 12:29,31:08.4,0
418,59,30,283,8/23/19 12:30,31:39.7,1
419,68,34,330,8/23/19 12:30,31:40.1,1
420,62,28,302,8/23/19 12:28,31:42.7,0
421,71,33,347,8/23/19 12:30,31:52.2,0
422,61,27,294,8/23/19 12:27,31:57.4,1
423,65,25,313,8/23/19 12:29,32:39.0,1
424,66,28,321,8/23/19 12:31,32:47.1,1
425,60,30,288,8/23/19 12:31,32:55.4,1
426,72,33,349,8/23/19 12:31,33:01.2,1
427,66,26,319,8/23/19 12:30,33:13.3,0
428,69,34,333,8/23/19 12:31,33:21.9,1
429,61,32,297,8/23/19 12:27,33:26.2,0
430,62,27,302,8/23/19 12:32,34:28.5,0
431,61,29,294,8/23/19 12:29,34:33.7,1
432,59,25,286,8/23/19 12:32,34:48.3,0
433,70,34,338,8/23/19 12:33,35:02.4,0
434,67,26,325,8/23/19 12:33,35:05.4,1
435,67,28,323,8/23/19 12:32,35:48.8,0
436,61,31,294,8/23/19 12:31,35:51.3,1
437,66,27,320,8/23/19 12:34,36:36.3,0
438,61,30,294,8/23/19 12:32,36:46.2,1
439,68,26,330,8/23/19 12:35,37:07.1,1
440,62,32,302,8/23/19 12:33,38:37.6,0
441,68,28,329,8/23/19 12:35,38:48.5,0
442,72,34,351,8/23/19 12:35,38:58.7,0
443,67,27,325,8/23/19 12:36,39:07.7,1
444,60,25,288,8/23/19 12:34,39:25.1,1
445,71,33,345,8/23/19 12:33,39:46.4,0
446,68,27,330,8/23/19 12:39,40:41.1,1
447,69,26,333,8/23/19 12:37,40:42.3,1
448,69,28,333,8/23/19 12:38,40:45.9,1
449,62,31,298,8/23/19 12:35,41:23.0,1
450,61,25,294,8/23/19 12:39,41:48.0,1
451,62,29,298,8/23/19 12:34,42:01.9,1
452,62,34,302,8/23/19 12:39,42:07.3,0
453,70,28,338,8/23/19 12:40,42:16.2,0
454,70,26,342,8/23/19 12:40,43:06.5,0
455,66,32,321,8/23/19 12:38,44:09.0,1
456,63,33,306,8/23/19 12:40,44:10.0,0
457,69,27,333,8/23/19 12:40,44:36.0,1
458,62,30,299,8/23/19 12:36,45:23.4,0
459,71,28,344,8/23/19 12:42,46:06.4,0
460,70,27,340,8/23/19 12:44,46:22.1,0
461,67,32,327,8/23/19 12:44,46:27.5,0
462,66,30,320,8/23/19 12:45,46:58.4,0
463,66,29,320,8/23/19 12:42,47:10.6,0
464,72,28,349,8/23/19 12:46,47:23.6,1
465,66,31,320,8/23/19 12:41,47:36.4,0
466,57,28,277,8/23/19 12:47,48:49.7,0
467,66,25,321,8/23/19 12:44,48:57.6,1
468,67,29,325,8/23/19 12:47,49:04.8,1
469,58,28,281,8/23/19 12:48,49:14.3,1
470,68,32,330,8/23/19 12:46,49:18.4,1
471,67,30,327,8/23/19 12:47,49:22.8,0
472,63,28,305,8/23/19 12:49,49:33.4,0
473,64,28,309,8/23/19 12:49,50:08.9,0
474,70,33,341,8/23/19 12:49,50:13.4,1
475,68,29,330,8/23/19 12:49,50:35.9,1
476,68,30,330,8/23/19 12:49,50:41.6,1
477,71,27,344,8/23/19 12:46,51:08.1,0
478,71,26,346,8/23/19 12:43,51:13.2,1
479,69,32,336,8/23/19 12:49,51:17.3,0
480,72,30,349,8/23/19 12:50,51:31.2,1
481,67,25,325,8/23/19 12:49,51:31.7,1
482,71,30,345,8/23/19 12:51,51:41.2,0
483,69,30,335,8/23/19 12:51,51:49.9,0
484,72,27,349,8/23/19 12:51,52:20.2,1
485,69,29,334,8/23/19 12:50,52:28.5,0
486,71,34,344,8/23/19 12:42,52:44.7,0
487,70,32,338,8/23/19 12:51,53:11.1,0
488,70,30,342,8/23/19 12:51,53:31.4,0
489,70,29,338,8/23/19 12:52,53:50.9,0
490,72,28,349,8/23/19 12:53,53:57.6,1
491,68,25,330,8/23/19 12:51,54:16.9,1
492,72,26,348,8/23/19 12:51,54:21.7,0
493,67,31,326,8/23/19 12:47,54:27.5,0
494,60,26,292,8/23/19 12:55,55:09.7,0
495,68,31,332,8/23/19 12:54,56:22.5,0
496,71,30,343,8/23/19 12:53,56:49.0,0
497,72,30,350,8/23/19 12:56,57:14.3,0
498,69,25,337,8/23/19 12:54,57:31.0,0
499,71,29,345,8/23/19 12:53,57:33.3,0
500,71,32,344,8/23/19 12:53,57:41.2,0
501,69,31,333,8/23/19 12:56,58:09.6,1
502,66,26,321,8/23/19 12:56,58:18.2,1
503,72,29,351,8/23/19 12:57,58:38.9,0
504,72,32,349,8/23/19 12:57,59:05.1,1
505,70,31,341,8/23/19 12:58,59:50.7,1
506,70,25,338,8/23/19 12:57,00:07.1,0
507,71,31,347,8/23/19 12:59,00:45.7,0
508,74,3,359,8/23/19 14:08,08:24.8,0
509,74,3,358,8/23/19 14:08,08:48.9,0
510,74,46,360,8/23/19 14:09,11:03.9,0
511,74,44,362,8/23/19 14:09,11:11.4,0
512,74,49,359,8/23/19 14:08,11:18.7,0
513,74,41,361,8/23/19 14:09,11:21.2,1
514,74,39,359,8/23/19 14:09,11:33.8,0
515,74,40,361,8/23/19 14:09,11:33.9,1
516,74,45,361,8/23/19 14:09,11:36.2,1
517,74,37,362,8/23/19 14:08,11:36.4,0
518,74,52,360,8/23/19 14:09,11:39.8,0
519,74,42,361,8/23/19 14:09,11:57.2,1
520,74,53,360,8/23/19 14:09,12:03.2,0
521,74,43,361,8/23/19 14:09,12:04.2,1
522,74,50,360,8/23/19 14:09,12:29.4,0
523,74,47,358,8/23/19 14:08,12:34.0,0
524,74,51,361,8/23/19 14:09,12:39.8,1
525,74,38,362,8/23/19 14:09,12:53.3,0
526,73,40,356,8/23/19 14:11,13:06.6,1
527,73,44,356,8/23/19 14:11,13:13.2,1
528,73,50,354,8/23/19 14:12,13:20.5,0
529,73,37,357,8/23/19 14:11,13:30.6,0
530,73,42,356,8/23/19 14:12,13:37.9,1
531,75,49,363,8/23/19 14:12,13:44.2,1
532,75,40,363,8/23/19 14:13,13:44.7,1
533,75,44,363,8/23/19 14:13,14:00.2,1
534,75,49,363,8/23/19 14:13,14:06.0,1
535,73,43,355,8/23/19 14:12,14:06.5,0
536,73,51,357,8/23/19 14:12,14:11.0,0
537,73,53,357,8/23/19 14:12,14:20.3,0
538,76,44,368,8/23/19 14:14,14:21.2,1
539,76,40,368,8/23/19 14:13,14:25.6,1
540,73,47,356,8/23/19 14:12,14:32.4,1
541,76,49,368,8/23/19 14:14,14:40.1,1
542,74,54,359,8/23/19 14:13,14:57.0,0
543,74,36,361,8/23/19 14:09,15:02.2,1
544,75,50,365,8/23/19 14:13,15:07.3,0
